country,iso,year,upop,upop%,rpop,rpop%,total_pop,upopw,urban_water_imp_per,rpopw,rural_water_imp_per,tpopw,total_water_imp_per,upopnw%,rpopnw%,tpopnw%,region
Afghanistan,AFG,2000,4383.1,21.3,16212.3,78.7,20595.4,2289.5,52.2,3942.3,24.3,6231.9,30.3,47.8,75.7,69.7,Southern Asia
Afghanistan,AFG,2005,5691.9,22.9,19169,77.1,24860.9,3500.1,61.5,6212.5,32.4,9712.6,39.1,38.5,67.6,60.9,Southern Asia
Afghanistan,AFG,1990,2148.7,18.3,9582.5,81.7,11731.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Southern Asia
Afghanistan,AFG,2015,8546.6,26.7,23460.2,73.3,32006.8,6679.5,78.2,11020.5,47,17700,55.3,21.8,53,44.7,Southern Asia
Afghanistan,AFG,2010,7011.3,24.7,21386.5,75.3,28397.8,4960.4,70.7,8661.9,40.5,13622.2,48,29.3,59.5,52,Southern Asia
Afghanistan,AFG,1995,3474.4,19.8,14111.7,80.2,17586.1,1493.3,43,2289.6,16.2,3782.9,21.5,57,83.8,78.5,Southern Asia
Albania,ALB,1995,1306.6,38.9,2051.3,61.1,3357.9,1306.6,100,1907.1,93,3213.7,95.7,0,7,4.3,Developed Regions
Albania,ALB,2015,1835.3,57.4,1361.7,42.6,3197,1742.6,94.9,1296.8,95.2,3039.3,95.1,5.1,4.8,4.9,Developed Regions
Albania,ALB,2000,1379.5,41.7,1925.4,58.3,3304.9,1379.5,100,1795.5,93.3,3175,96.1,0,6.7,3.9,Developed Regions
Albania,ALB,2005,1493.6,46.7,1702.5,53.3,3196.1,1469.4,98.4,1599.7,94,3069.1,96,1.6,6,4,Developed Regions
Albania,ALB,1990,1255.6,36.4,2191.2,63.6,3446.9,1255.6,100,NA,NA,NA,NA,0,NA,NA,Developed Regions
Albania,ALB,2010,1643.2,52.2,1506.9,47.8,3150.1,1585.3,96.5,1426.6,94.7,3011.8,95.6,3.5,5.3,4.4,Developed Regions
Algeria,DZA,1990,13667,52.1,12572.7,47.9,26239.7,13313.3,97.4,10691.9,85,24005.2,91.5,2.6,15,8.5,Northern Africa
Algeria,DZA,2005,21677.2,63.8,12283.7,36.2,33960.9,19566.3,90.3,10229,83.3,29795.4,87.7,9.7,16.7,12.3,Northern Africa
Algeria,DZA,2010,25027,67.5,12035.8,32.5,37062.8,21844.5,87.3,9933.9,82.5,31778.4,85.7,12.7,17.5,14.3,Northern Africa
Algeria,DZA,1995,16415.9,56,12899.6,44,29315.5,15795.4,96.2,10931.9,84.7,26727.3,91.2,3.8,15.3,8.8,Northern Africa
Algeria,DZA,2015,28738.8,70.7,11894.7,29.3,40633.5,24228.1,84.3,9729.8,81.8,33957.9,83.6,15.7,18.2,16.4,Northern Africa
Algeria,DZA,2000,19005.9,59.9,12713.6,40.1,31719.4,17721.3,93.2,10680.6,84,28401.9,89.5,6.8,16,10.5,Northern Africa
American Samoa,ASM,2015,69.8,94.1,4.4,5.9,74.2,69.8,100,4.4,100,74.2,100,0,0,0,Oceania
American Samoa,ASM,1995,45.1,85.3,7.8,14.7,52.9,43.2,95.7,7.5,95.7,50.6,95.7,4.3,4.3,4.3,Oceania
American Samoa,ASM,1990,38.1,80.9,9,19.1,47.1,35.6,93.6,8.4,93.6,44,93.6,6.4,6.4,6.4,Oceania
American Samoa,ASM,2000,51.2,88.8,6.5,11.2,57.6,50,97.8,6.3,97.8,56.3,97.8,2.2,2.2,2.2,Oceania
American Samoa,ASM,2005,57.5,91.3,5.5,8.7,63,57.4,99.9,5.5,99.9,62.9,99.9,0.1,0.1,0.1,Oceania
American Samoa,ASM,2010,63.6,93,4.8,7,68.4,63.6,100,4.8,100,68.4,100,0,0,0,Oceania
Andorra,AND,1995,60.6,93.7,4.1,6.3,64.7,60.6,100,4.1,100,64.7,100,0,0,0,Developed Regions
Andorra,AND,1990,50,94.7,2.8,5.3,52.8,50,100,2.8,100,52.8,100,0,0,0,Developed Regions
Andorra,AND,2005,70.3,90.3,7.6,9.7,77.9,70.3,100,7.6,100,77.9,100,0,0,0,Developed Regions
Andorra,AND,2010,74.5,87.8,10.3,12.2,84.9,74.5,100,10.3,100,84.9,100,0,0,0,Developed Regions
Andorra,AND,2015,78.1,85.1,13.6,14.9,91.7,78.1,100,13.6,100,91.7,100,0,0,0,Developed Regions
Andorra,AND,2000,59.7,92.4,4.9,7.6,64.6,59.7,100,4.9,100,64.6,100,0,0,0,Developed Regions
Angola,AGO,2005,5984,36.2,10560.4,63.8,16544.4,3954,66.1,3656.7,34.6,7610.7,46,33.9,65.4,54,Sub-Saharan Africa
Angola,AGO,2010,7838.6,40.1,11710.5,59.9,19549.1,5635,71.9,3582.3,30.6,9217.3,47.1,28.1,69.4,52.9,Sub-Saharan Africa
Angola,AGO,2015,10052.3,44.1,12767.7,55.9,22819.9,7576.8,75.4,3596.6,28.2,11173.4,49,24.6,71.8,51,Sub-Saharan Africa
Angola,AGO,2000,4514.3,32.4,9410.6,67.6,13924.9,2720.6,60.3,3638.3,38.7,6358.9,45.7,39.7,61.3,54.3,Sub-Saharan Africa
Angola,AGO,1990,2643.6,25.6,7690.3,74.4,10333.8,1378.1,52.1,3345.6,43.5,4723.7,45.7,47.9,56.5,54.3,Sub-Saharan Africa
Angola,AGO,1995,3495.9,28.9,8609.1,71.1,12105,1903.7,54.5,3675.8,42.7,5579.6,46.1,45.5,57.3,53.9,Sub-Saharan Africa
Anguilla,AIA,2010,15.4,100,0,0,15.4,14.5,94.5,NA,NA,14.5,94.5,5.5,NA,5.5,Latin America and the Caribbean
Anguilla,AIA,1990,8.3,100,0,0,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin America and the Caribbean
Anguilla,AIA,2000,11.1,100,0,0,11.1,10.3,93.4,NA,NA,10.3,93.4,6.6,NA,6.6,Latin America and the Caribbean
Anguilla,AIA,2005,13.6,100,0,0,13.6,12.8,94,NA,NA,12.8,94,6,NA,6,Latin America and the Caribbean
Anguilla,AIA,1995,9.8,100,0,0,9.8,9.2,93.4,NA,NA,9.2,93.4,6.6,NA,6.6,Latin America and the Caribbean
Anguilla,AIA,2015,16.6,100,0,0,16.6,15.7,94.6,NA,NA,15.7,94.6,5.4,NA,5.4,Latin America and the Caribbean
Antigua and Barbuda,ATG,1995,23.2,34,45.1,66,68.3,22.6,97.6,44,97.6,66.7,97.6,2.4,2.4,2.4,Latin America and the Caribbean
Antigua and Barbuda,ATG,2000,24.9,32.1,52.7,67.9,77.6,24.4,97.7,51.5,97.7,75.9,97.7,2.3,2.3,2.3,Latin America and the Caribbean
Antigua and Barbuda,ATG,1990,21.9,35.4,40,64.6,61.9,21.4,97.4,39,97.4,60.3,97.4,2.6,2.6,2.6,Latin America and the Caribbean
